date,timestamp,stress_level,source,derived_timestamp
2025-12-30,2025-12-29T23:00:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-29T23:03:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-29T23:06:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-29T23:09:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-29T23:12:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-29T23:15:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-29T23:18:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-29T23:21:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-29T23:24:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-29T23:27:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-29T23:30:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-29T23:33:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-29T23:36:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-29T23:39:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-29T23:42:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-29T23:45:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-29T23:48:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-29T23:51:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-29T23:54:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-29T23:57:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-30T00:00:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-30T00:03:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-30T00:06:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-30T00:09:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-30T00:12:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-30T00:15:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-30T00:18:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-30T00:21:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-30T00:24:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-30T00:27:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-30T00:30:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-30T00:33:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-30T00:36:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-30T00:39:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-30T00:42:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-30T00:45:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-30T00:48:00+00:00,-1,stressValuesArray,False
2025-12-30,2025-12-30T00:51:00+00:00,-1,stressValuesArray,False
